job_title,company_name,company_location,time,job_type,work_location,level,experince_years,job_skills,url
"AI & Data Science Python Developer Intern","Sequel Solutions","Cairo, Egypt","1 month ago","Internship","Remote","Student","0 - 1 Yrs of Exp","IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Algorithms - Information Technology (IT) - Python - Software - Software Development - Software Engineering - Programming","https://wuzzuf.net/internship/1kma8fGoLuav-AI-Data-Science-Python-Developer-Intern-Sequel-Solutions-Cairo-Egypt"
"Data Analyst","EGEC","Haram, Giza, Egypt","4 days ago","Full Time","On-site","Experienced","2 - 5 Yrs of Exp","Accounting/Finance - Analyst/Research - Engineering - Other - analytical - AnalysisComputer Science - ReportingData Analysis - Communication skills","https://wuzzuf.net/jobs/p/F99QNVxDd8Yp-Data-Analyst-EGEC-Giza-Egypt"
"Data Engineer","Hands of Hope Physical Therapy & Wellness","Maadi, Cairo, Egypt","5 days ago","Full Time","On-site","Experienced","2 - 7 Yrs of Exp","IT/Software Development - Analyst/Research - Engineering - Telecom/Technology - Computer EngineeringData ModelingDatabaseDatabase Design - Design - Engineering - ETL","https://wuzzuf.net/jobs/p/0yNNI8gqx135-Data-Engineer-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt"
"Data Analyst","Alarabia Group","Cairo, Egypt","10 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","IT/Software Development - Analyst/Research - Sales/Retail - businessComputer Science - Analysis - Computer SkillsData Analysis - Information Technology (IT) - Sales","https://wuzzuf.net/jobs/p/g31LAuLyaUXD-Data-Analyst-Alarabia-Group-Cairo-Egypt"
"Data Analyst","Tiba Egypt","Haram, Giza, Egypt","12 days ago","Full Time","On-site","Experienced","1 - 5 Yrs of Exp","Analyst/Research - Analysis - business - CommerceComputer ScienceDataData Analysis - excel - FMCG - analytical","https://wuzzuf.net/jobs/p/N9p4GXhkCKsK-Data-Analyst-Tiba-Egypt-Giza-Egypt"
"Data/Artificial Intelligence Sr. Consultant","Exco Egypt","Nasr City, Cairo, Egypt","13 days ago","Full Time","On-site","Manager","10 - 16 Yrs of Exp","Strategy/Consulting - Artificial IntelligenceComputer Science - Software DevelopmentData Engineer","https://wuzzuf.net/jobs/p/MirKjNxU7veX-DataArtificial-Intelligence-Sr-Consultant-Exco-Egypt-Cairo-Egypt"
"Big Data Consultant","Exco Egypt","Nasr City, Cairo, Egypt","13 days ago","Full Time","On-site","Manager","10 - 16 Yrs of Exp","Analyst/Research - Strategy/ConsultingBig Data - AnalysisData Management - Computer EngineeringData Science","https://wuzzuf.net/jobs/p/egjM6VMefvKW-Big-Data-Consultant-Exco-Egypt-Cairo-Egypt"
"Senior Data Architect","APS Resources","Giza, Egypt","15 days ago","Part Time / Freelance / Project","Remote","Experienced","3 - 5 Yrs of Exp","IT/Software Development - Engineering - Telecom/TechnologyData Analysis - DevOps - Python - Information Technology (IT)Data ScienceData Architecture - Microservice Architecture - Apache Spark","https://wuzzuf.net/jobs/p/97O2ObOpbmtz-Senior-Data-Architect-APS-Resources-Giza-Egypt"
"Telesales Representative & Data Collector","Diamond","Haram, Giza, Egypt","16 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","R&D/Science - Sales/Retail - Sales Field - TelesalesData collectorFood Science","https://wuzzuf.net/jobs/p/8Y2P0AHSZO5Z-Telesales-Representative-Data-Collector-Diamond-Giza-Egypt"
"Data Marketing Analyst","Madar Soft","Fleming, Alexandria, Egypt","17 days ago","Full Time","Remote","Experienced","2 - 3 Yrs of Exp","Marketing/PR/Advertising - Analyst/Research - CRM - Analysis - analyticalData Analysis - Google Analytics - Market Research - SPSS - SAS","https://wuzzuf.net/jobs/p/7Y5gV4BJSesN-Data-Marketing-Analyst-Madar-Soft-Alexandria-Egypt"
"Data Analyst","Naguib Selim","Nasr City, Cairo, Egypt","19 days ago","Full Time","On-site","Experienced","5 - 7 Yrs of Exp","IT/Software Development - Analyst/Research - Engineering - Telecom/Technology - Analysis - AnalystComputer ScienceData AnalysisData Analyst - Information Technology (IT) - analytical","https://wuzzuf.net/jobs/p/qRdMHenTJrJQ-Data-Analyst-Naguib-Selim-Cairo-Egypt"
"Master Data Specialist","Grifols Egypt for Plasma Derivatives","New Cairo, Cairo, Egypt","20 days ago","Full Time","On-site","Entry Level","2 - 4 Yrs of Exp","Administration - Business Development - IT/Software Development - Admin - Administration - Communication - Communication skills - computerComputer ScienceData Entry","https://wuzzuf.net/jobs/p/h2yAGAD2oQ8h-Master-Data-Specialist-Grifols-Egypt-for-Plasma-Derivatives-Cairo-Egypt"
"Data Systems Manager/ Analytics Manager","BariQ","6th of October, Giza, Egypt","23 days ago","Full Time","On-site","Manager","4 - 10 Yrs of Exp","IT/Software DevelopmentComputer Science - Information Systems - Business Administration - Analytics ManagerData Systems Manager","https://wuzzuf.net/jobs/p/2eXw3wcfVCqS-Data-Systems-Manager-Analytics-Manager-BariQ-Giza-Egypt"
"BI Developer (Google Data Studio)","Blu Mountain","Los Angeles, United States","24 days ago","Full Time","Remote","Entry Level","1+ Yrs of Exp","IT/Software Development - Analyst/Research - BI DeveloperComputer Science - SQLData - Power BI - Looker Studio - Google Analytics - BI","https://wuzzuf.net/jobs/p/lDnHezrOGrey-BI-Developer-Google-Data-Studio-Blu-Mountain-Los-Angeles-United-States"
"Data Analyst","Carina Wear","New Cairo, Cairo, Egypt","24 days ago","Full Time","On-site","Entry Level","1 - 3 Yrs of Exp","IT/Software Development - Analyst/Research - Engineering - Telecom/TechnologyData Analysis - Microsoft Power BI - business - AnalysisComputer ScienceBig Data Analytics - Power BI","https://wuzzuf.net/jobs/p/0hum3wjh9mZ4-Data-Analyst-Carina-Wear-Cairo-Egypt"
"Data Engineer","Carina Wear","New Cairo, Cairo, Egypt","24 days ago","Full Time","On-site","Entry Level","0 - 1 Yrs of Exp","Analyst/Research - Engineering - Other - EngineeringData EngineeringData WarehousingData Warehouse - Analysis - SQLComputer Science - Information Technology (IT)","https://wuzzuf.net/jobs/p/4WxgaxNNUk21-Data-Engineer-Carina-Wear-Cairo-Egypt"
"Senior Data Engineer","Global Brands","New Cairo, Cairo, Egypt","25 days ago","Full Time","Hybrid","Experienced","4+ Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Agile - Azure - Communication skillsComputer ScienceData Analysis - Information Technology (IT) - Software Development","https://wuzzuf.net/jobs/p/jOEOlhhGB7p6-Senior-Data-Engineer-Global-Brands-Cairo-Egypt"
"Data Analyst","Confidential","Mohandessin, Giza, Egypt","1 month ago","Full Time","Hybrid","Entry Level","1 - 2 Yrs of Exp","Analyst/Research - Engineering - Telecom/Technology - Analysis - analytical - Communication skillsComputer ScienceDataData Analysis - Engineering - ETL","https://wuzzuf.net/jobs/p/NVdcxmckBKls-Data-Analyst-Giza-Egypt"
"Data Analyst","Asfour for Mining and Refractories","Tebin, Cairo, Egypt","1 month ago","Full Time","On-site","Experienced","1 - 3 Yrs of Exp","Operations/Management - Manufacturing/Production - Analyst/Research - Analysis - business - analyticalData AnalysisComputer ScienceData - excel","https://wuzzuf.net/jobs/p/NXhiVlno2hRp-Data-Analyst-Asfour-for-Mining-and-Refractories-Cairo-Egypt"
"IT Intern - Application Support","Dreem Mashreq Foods","Alexandria, Egypt","3 days ago","Internship","On-site","Entry Level","Computer Science","IT/Software Development - Engineering - Telecom/Technology - ERP - Information Technology (IT) - ITI - Accounting - Software Development - business - EnglishComputer Science","https://wuzzuf.net/internship/sTGHuOgXTTcK-IT-Intern---Application-Support-Dreem-Mashreq-Foods-Alexandria-Egypt"
"Senior Data Warehousing & Business Intelligence Engineer","The Micro, Small & Medium Enterprise Development Agency","Dokki, Giza, Egypt","1 month ago","Full Time","On-site","Experienced","5 - 10 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Analysis - BI - Business IntelligenceComputer ScienceData AnalysisData Warehousing - Engineering - Information Technology (IT)","https://wuzzuf.net/jobs/p/wzZUaJvYO6Cw-Senior-Data-Warehousing-Business-Intelligence-Engineer-The-Micro-Small-Medium-Enterprise-Development-Agency-Giza-Egypt"
"Etisalat UAE Prestige Account  Customer service representative, Maadi","Etisalat Egypt","Maadi, Cairo, Egypt","1 day ago","Full Time","On-site","Entry Level","0 - 15 Yrs of Exp","Customer Service/Support - Operations/Management - Computer Skills - chat - Customer Care - Customer Service - Customer Support - Mail - English - Medical","https://wuzzuf.net/jobs/p/nPTjjnPesdI0-Etisalat-UAE-Prestige-Account-Customer-service-representative-Maadi-Etisalat-Egypt-Cairo-Egypt"
"Machine Learning Engineer","WUZZUF","Maadi, Cairo, Egypt","2 days ago","Full Time","Hybrid","Experienced","2 - 4 Yrs of Exp","IT/Software Development - Analyst/Research - Engineering - Telecom/Technology - Python - ElasticSearch - Machine Learning - Web Development - Pandas - Information Retrieval - Recommender Systems","https://wuzzuf.net/jobs/p/LZGiOLXFhs9n-Machine-Learning-Engineer-WUZZUF-Cairo-Egypt"
"Senior ERP Business Analyst","BI-Technologies","New Cairo, Cairo, Egypt","4 days ago","Full Time","Hybrid","Experienced","5+ Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/Technology - Business Analysis - business - Business DevelopmentComputer Science - Information Technology (IT)Data - Management","https://wuzzuf.net/jobs/p/LS5ZTGKMmyer-Senior-ERP-Business-Analyst-BI-Technologies-Cairo-Egypt"
"IT Specialist","Rockal","Nasr City, Cairo, Egypt","10 days ago","Full Time","On-site","Entry Level","0 - 2 Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/Technology - Information Technology (IT)Computer Science - Technical Support - Computer Engineering - Network Administration - Installation - Networking","https://wuzzuf.net/jobs/p/xoe7x3IAFfPZ-IT-Specialist-Rockal-Cairo-Egypt"
"Full stack Developer (.Net Core & Angular)","BI-Technologies","New Cairo, Cairo, Egypt","11 days ago","Full Time","Hybrid","Entry Level","1 - 3 Yrs of Exp","IT/Software Development - ASP.NET - Software Development - .NET - Information Technology (IT) - Full StackComputer Science - Computer EngineeringDatabase DesignData Modeling","https://wuzzuf.net/jobs/p/b0S3fBdNmYRn-Full-stack-Developer-Net-Core-Angular-BI-Technologies-Cairo-Egypt"
"Senior Business Systems Analyst (To Work In Saudi Arabia)","ICIS","Riyadh, Saudi Arabia","12 days ago","Full Time","On-site","Experienced","10 - 15 Yrs of Exp","IT/Software Development - Analyst/Research - Engineering - Telecom/Technology - AnalysisComputer Science - Information Technology (IT) - QA - Business AnalysisData - Software","https://wuzzuf.net/jobs/p/AfpoBAv0jIwN-Senior-Business-Systems-Analyst-To-Work-In-Saudi-Arabia-ICIS-Riyadh-Saudi-Arabia"
"Customer Service Advisor Mail and Chat - English Account.,","Etisalat Egypt","Maadi, Cairo, Egypt","14 days ago","Full Time","On-site","Entry Level","0 - 15 Yrs of Exp","Customer Service/Support - Operations/Management - Computer Skills - chat - Customer Care - Customer Service - Customer Support - Mail - English - Medical","https://wuzzuf.net/jobs/p/xjHHUc4hjgtQ-Customer-Service-Advisor-Mail-and-Chat---English-Account-Etisalat-Egypt-Cairo-Egypt"
"Senior Business Analyst","CÆLUM Middle East","Zamalek, Cairo, Egypt","21 days ago","Full Time","Hybrid","Experienced","5+ Yrs of Exp","IT/Software Development - Analysis - analytical - Business AnalysisComputer Science - Information Technology (IT) - System Analysis - Engineering - SoftwareData","https://wuzzuf.net/jobs/p/7gdFKZ8kNBBN-Senior-Business-Analyst-CÆLUM-Middle-East-Cairo-Egypt"
"Senior Software Business Analyst / ERP","Our Education","Nasr City, Cairo, Egypt","20 days ago","Full Time","On-site","Experienced","5 - 10 Yrs of Exp","IT/Software Development - Analyst/Research - Engineering - Telecom/Technology - Analysis - Management - Project Management - Software Development - Agile - businessComputer Science","https://wuzzuf.net/jobs/p/59tn4l5D4tFP-Senior-Software-Business-Analyst-ERP-Our-Education-Cairo-Egypt"
"Data Engineer","BBI-Consultancy","Nasr City, Cairo, Egypt","2 months ago","Full Time","Hybrid","Experienced","3 - 7 Yrs of Exp","IT/Software Development - Analyst/Research - Engineering - Telecom/Technology - Computer EngineeringComputer ScienceData MiningDatabase - Engineering - Ibm - Information Technology (IT)","https://wuzzuf.net/jobs/p/jQVx15fwJIz1-Data-Engineer-BBI-Consultancy-Cairo-Egypt"
"Project System (Unifier/P6) Admin (E2) - Saudi Nationals","Hill International","Riyadh, Saudi Arabia","24 days ago","Full Time","On-site","Experienced","4+ Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - EngineeringComputer Science - Information Technology (IT) - Primavera - Construction - Oracle Primavera Unifier - Primavera Functional Support - Oracle","https://wuzzuf.net/jobs/p/8pURcwcHWant-Project-System-UnifierP6-Admin-E2---Saudi-Nationals-Hill-International-Riyadh-Saudi-Arabia"
"IT Internal Control Lead","Masria Digital Payment (MDP)","New Cairo, Cairo, Egypt","25 days ago","Full Time","On-site","Experienced","4 - 10 Yrs of Exp","IT/Software Development - LegalComputer ScienceData Security - Information Technology (IT) - Management - Quality AssuranceScience - Security - Quality Control","https://wuzzuf.net/jobs/p/YvPIcZX5gRGA-IT-Internal-Control-Lead-Masria-Digital-Payment-MDP-Cairo-Egypt"
"Chemist - Faculty of science","Confidential","Cairo, Egypt","12 days ago","Full Time","On-site","Entry Level","0 - 3 Yrs of Exp","R&D/Science - Chemicals - Chemist - quality - Laboratory","https://wuzzuf.net/jobs/p/Qs4vYuPY5O4A-Chemist---Faculty-of-science-Cairo-Egypt"
"Senior Java Developer","egabi solutions","Sheraton, Cairo, Egypt","1 month ago","Full Time","On-site","Experienced","2 - 10 Yrs of Exp","IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Development - Information Technology (IT) - Java - Banks - Design Patters - Web Development - SQL","https://wuzzuf.net/jobs/p/ggXYsjMOAKkJ-Senior-Java-Developer-egabi-solutions-Cairo-Egypt"
"Data Analyst","Rotem SRS","Cairo, Egypt","3 days ago","Full Time","On-site","Experienced","2 - 3 Yrs of Exp","Quality - Analyst/Research - Engineering - Mechanical/ElectricalData Analysis - Engineering - Analysis - analytical - Statistics - Tableau - SQL","https://wuzzuf.net/jobs/p/dZtsSzWqvAqg-Data-Analyst-Rotem-SRS-Cairo-Egypt"
"Senior Data Integration Engineer","e-finance","Smart Village, Giza, Egypt","6 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","IT/Software Development - Analyst/Research - ETL - IntegrationData Integration - Software EngineeringData ModelingDatabase - Python - Software Development","https://wuzzuf.net/jobs/p/jcNRvQOmEJlj-Senior-Data-Integration-Engineer-e-finance-Giza-Egypt"
"Senior Data Warehouse Architect","Confidential","Kuwait City, Kuwait","10 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","Engineering - Construction/Civil/Architecture - Project/Program Management - Tourism/Travel - Azure - SQL - ETLData WarehousingDatabase","https://wuzzuf.net/jobs/p/DzwHT1Bv8DKy-Senior-Data-Warehouse-Architect-Kuwait-City-Kuwait"
"Data Analyst","Second profit","Nasr City, Cairo, Egypt","12 days ago","Full Time","Remote","Experienced","2 - 4 Yrs of Exp","Other - SQL - Tableau - Power BIOracle DatabaseData Warehouse - JavaScript","https://wuzzuf.net/jobs/p/StxQYW68mlNE-Data-Analyst-Second-profit-Cairo-Egypt"
"Data Management Consultant","Transformation Experts","Nasr City, Cairo, Egypt","2 months ago","Full Time / Freelance / Project","Remote","Experienced","1 - 5 Yrs of Exp","IT/Software DevelopmentComputer Science - ConsultingDataData Management - Information Technology (IT) - Project Management","https://wuzzuf.net/jobs/p/JB5WCwEdexgY-Data-Management-Consultant-Transformation-Experts-Cairo-Egypt"
"Sales Data Analyst","ICONIC FMCG","New Cairo, Cairo, Egypt","19 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","Accounting/Finance - Analyst/Research - Sales/Retail - AnalysisDataData AnalysisData Analyst - Retail - Sales","https://wuzzuf.net/jobs/p/nsSdNqUuGTdi-Sales-Data-Analyst-ICONIC-FMCG-Cairo-Egypt"
"Data Analyst","Sequel Solutions","Cairo, Egypt","2 months ago","Full Time","Remote","Entry Level","1 - 2 Yrs of Exp","IT/Software Development - Analyst/Research - Engineering - Telecom/Technology - Analysis - analyticalDataData AnalysisData Analyst - Information Technology (IT) - Python","https://wuzzuf.net/jobs/p/Q2yPRfwbwbYt-Data-Analyst-Sequel-Solutions-Cairo-Egypt"
"Senior Data Intelligence Analyst","Almosafer","Mohandessin, Giza, Egypt","20 days ago","Full Time","On-site","Experienced","2 - 3 Yrs of Exp","Analyst/Research - AnalysisDataData Analysis - English - analytical","https://wuzzuf.net/jobs/p/1yrlB1UR7kZU-Senior-Data-Intelligence-Analyst-Almosafer-Giza-Egypt"
"Educational Center Academic Researcher (medicine, Pharmaceutical, nursing)","الناجح للخدمات والاستشارات التعليمية والطلابية","Mokattam, Cairo, Egypt","1 month ago","Full Time / Part Time","Hybrid","Manager","2+ Yrs of Exp","Writing/Editorial - Medical/Healthcare - Pharmaceutical - Academic - Research - Education - Clinical Research - PharmaceuticalPharmaceutical SciencesPharmaceutical Science","https://wuzzuf.net/jobs/p/XLaS7DjKzDd2-Educational-Center-Academic-Researcher-medicine-Pharmaceutical-nursing-الناجح-للخدمات-والاستشارات-التعليمية-والطلابية-Cairo-Egypt"
"Power BI Developer","BI-Technologies","New Cairo, Cairo, Egypt","1 month ago","Full Time","Hybrid","Entry Level","1 - 5 Yrs of Exp","IT/Software Development - Analyst/Research - Engineering - Telecom/TechnologyComputer Science - Power BI - SSRS - BI - SQL - Microsoft Power BI - Engineering","https://wuzzuf.net/jobs/p/fxFV4RQYHZmv-Power-BI-Developer-BI-Technologies-Cairo-Egypt"
"SAP PP Consultant","Arma-HSA","New Cairo, Cairo, Egypt","1 month ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","IT/Software Development - computerComputer ScienceData Migration - Implementation - Information technology - Information Technology (IT) - S/4hana - SAP - Production","https://wuzzuf.net/jobs/p/x3VnrZzsoRBk-SAP-PP-Consultant-Arma-HSA-Cairo-Egypt"
"Head of Science Department","Creatives International Schools ( CIS )","Sharqia, Egypt","1 month ago","Full Time","On-site","Senior Management","9+ Yrs of Exp","Operations/Management - Education/Teaching - Operations Management - Teaching - Education - Head of Department","https://wuzzuf.net/jobs/p/xoy2NQHoKprV-Head-of-Science-Department-Creatives-International-Schools-CIS-Sharqia-Egypt"
"Data Science Internship 2024","Mozn","Riyadh, Saudi Arabia","29 days ago","Full Time","","Not specified","computer science","IT/Software Development - Analyst/Research - Engineering - Telecom/Technologycomputer science - information technology (it) - software development - software engineering - engineering - python - programming","https://wuzzuf.net/jobs/p/g/agiMBtihDFH4-Data-Science-Internship-2024-Mozn-Riyadh-Saudi-Arabia"
"Data Analyst","Cairo Three A Poultry","New Cairo, Cairo, Egypt","1 month ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","Analyst/Research - Power BI - TableauData Analysis - SQL","https://wuzzuf.net/jobs/p/V3YFmjC8ooSj-Data-Analyst-Cairo-Three-A-Poultry-Cairo-Egypt"
"Data Analyst","Helal Group","New Cairo, Cairo, Egypt","1 month ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","Analyst/ResearchDataData AnalystData Analysis - Analysis - analytical - Analyst","https://wuzzuf.net/jobs/p/X7y9gVNXPRbp-Data-Analyst-Helal-Group-Cairo-Egypt"
"Data Analyst","BTC-Egypt Gold","Cairo, Egypt","1 month ago","Full Time","On-site","Entry Level","0 - 2 Yrs of Exp","Analyst/Research - analytical - AnalysisDataData AnalysisData Analyst","https://wuzzuf.net/jobs/p/g4fDvv3B6adj-Data-Analyst-BTC-Egypt-Gold-Cairo-Egypt"
"Medical Science Liaison","Kinetic Business Solutions","Riyadh, Saudi Arabia","2 days ago","Freelance / Project","","Experienced","Science","R&D/Science - Medical/Healthcare - Pharmaceutical - PharmacyScience - Medical - AdministrationData EntryData Processor - Health Care","https://wuzzuf.net/jobs/p/g/5yrqyEGdFSds-Medical-Science-Liaison-Kinetic-Business-Solutions-Riyadh-Saudi-Arabia"
"Developer Analyst","Razaz Group","New Cairo, Cairo, Egypt","2 months ago","Full Time","On-site","Experienced","2 - 20 Yrs of Exp","IT/Software DevelopmentComputer Science - Engineering - Information Technology (IT) - Mobile Development - Software DevelopmentData - Development","https://wuzzuf.net/jobs/p/LIYipwcJbcNv-Developer-Analyst-Razaz-Group-Cairo-Egypt"
"Senior Data Scientist ( 3 months contractual role)","Creative Chaos","Riyadh, Saudi Arabia","20 hours ago","Full Time","","Not specified","Computer Science","IT/Software Development - Analyst/Research - Engineering - Telecom/TechnologyComputer Science - Information Technology (IT) - SQL - Python - EngineeringData Analysis - Software Development","https://wuzzuf.net/jobs/p/g/XxNycagojmuJ-Senior-Data-Scientist-3-months-contractual-role-Creative-Chaos-Riyadh-Saudi-Arabia"
"Data Analytics & BI Specialist","ABB","Dubai, United Arab Emirates","17 hours ago","Full Time","","Not specified","Computer Science","IT/Software Development - Analyst/Research - Engineering - Telecom/TechnologyComputer Science - Information Technology (IT)Data Analysis - AnalysisData Analytics - Marketing - SQL","https://wuzzuf.net/jobs/p/g/lVEz9KvRhA6q-Data-Analytics-BI-Specialist-ABB-Dubai-United-Arab-Emirates"
"Remote Data Entry Assistant– Work From Home","EquaSiis - an EquaTerra Company","Riyadh, Saudi Arabia","18 hours ago","Full Time","","Not specified","computer science","Administration - IT/Software Development - Engineering - Telecom/Technologycomputer science - information technology (it) - customer service - administration - microsoft officedata entry - communication","https://wuzzuf.net/jobs/p/g/dNKwuD20cArq-Remote-Data-Entry-Assistant–-Work-From-Home-EquaSiis---an-EquaTerra-Company-Riyadh-Saudi-Arabia"
"Remote Data Entry Role (Part Time)","EquaSiis - an EquaTerra Company","Riyadh, Saudi Arabia","18 hours ago","Full Time","","Not specified","computer science","Accounting/Finance - IT/Software Development - Engineering - Telecom/Technologycomputer science - information technology (it) - computer engineering - customer service - microsoft officedata entry - management","https://wuzzuf.net/jobs/p/g/v7klgQry2nEd-Remote-Data-Entry-Role-Part-Time-EquaSiis---an-EquaTerra-Company-Riyadh-Saudi-Arabia"
"Data Entry-Full Time-Remote","EquaSiis - an EquaTerra Company","Riyadh, Saudi Arabia","18 hours ago","Full Time","","Not specified","computer science","Accounting/Finance - IT/Software Development - Engineering - Telecom/Technology - information technology (it)computer science - microsoft office - software developmentdata entry - social media - management","https://wuzzuf.net/jobs/p/g/YcT9qBU1glCi-Data-Entry-Full-Time-Remote-EquaSiis---an-EquaTerra-Company-Riyadh-Saudi-Arabia"
"Remote Data Entry Role (Entry Level)","EquaSiis - an EquaTerra Company","Riyadh, Saudi Arabia","18 hours ago","Full Time","","Not specified","computer science","Accounting/Finance - IT/Software Development - Engineering - Telecom/Technologycomputer science - information technology (it) - computer engineering - customer service - microsoft officedata entry - management","https://wuzzuf.net/jobs/p/g/0buxlWhnJECP-Remote-Data-Entry-Role-Entry-Level-EquaSiis---an-EquaTerra-Company-Riyadh-Saudi-Arabia"
"Human Resources Data Analyst","Talents Work","Riyadh, Saudi Arabia","14 hours ago","Full Time","","Experienced","Data Analysis","IT/Software Development - Analyst/Research - Engineering - Telecom/TechnologyData Analysis - AnalysisComputer Science - Information Technology (IT) - Microsoft Office - SQL - Microsoft Excel","https://wuzzuf.net/jobs/p/g/XlEkD15iVlDs-Human-Resources-Data-Analyst-Talents-Work-Riyadh-Saudi-Arabia"
"Data Analyst","Alvest Equipment Services (AES)","Dubai, United Arab Emirates","24 hours ago","Full Time","","Entry Level","Data Analysis","IT/Software Development - Analyst/Research - Engineering - Telecom/TechnologyData Analysis - AnalysisComputer Science - Information Technology (IT) - SQL - Microsoft Office - Microsoft Excel","https://wuzzuf.net/jobs/p/g/h3BTBvGk5ePJ-Data-Analyst-Alvest-Equipment-Services-AES-Dubai-United-Arab-Emirates"
"Remote Data Entry Role (Entry Level)","Artevist","Riyadh, Saudi Arabia","2 days ago","Full Time","","Not specified","computer science","Accounting/Finance - IT/Software Development - Engineering - Telecom/Technologycomputer science - information technology (it) - computer engineering - customer servicedata entry - software - management","https://wuzzuf.net/jobs/p/g/OMu3fgi7tnNi-Remote-Data-Entry-Role-Entry-Level-Artevist-Riyadh-Saudi-Arabia"
"Remote Data Entry Role (Entry Level)","Shortwave Design","Dubai, United Arab Emirates","2 days ago","Full Time","","Not specified","computer science","Accounting/Finance - IT/Software Development - Engineering - Telecom/Technologycomputer science - information technology (it) - computer engineering - customer servicedata entry - software - management","https://wuzzuf.net/jobs/p/g/bMy5X4UP333P-Remote-Data-Entry-Role-Entry-Level-Shortwave-Design-Dubai-United-Arab-Emirates"
"Entry-Level Remote Data Input Position","Pixsta","Al Rayyan, Qatar","3 days ago","Full Time","","Not specified","computer science","Customer Service/Support - IT/Software Development - Engineering - Telecom/Technology - information technology (it) - customer servicecomputer science - customer care - managementdata entry - software","https://wuzzuf.net/jobs/p/g/gVCOGPxYKK2D-Entry-Level-Remote-Data-Input-Position-Pixsta-Al-Rayyan-Qatar"
"Remote Data Input Representative","Pixsta","Dubai, United Arab Emirates","3 days ago","Full Time","","Not specified","computer science","Customer Service/Support - IT/Software Development - Engineering - Telecom/Technology - information technology (it)computer science - customer service - engineering - managementdata entry - software","https://wuzzuf.net/jobs/p/g/qpvXLjNI9RgJ-Remote-Data-Input-Representative-Pixsta-Dubai-United-Arab-Emirates"
"Remote Data Input Representative","darrensmithdesign","Riyadh, Saudi Arabia","3 days ago","Full Time","","Not specified","computer science","Customer Service/Support - IT/Software Development - Engineering - Telecom/Technology - information technology (it)computer science - customer service - engineering - managementdata entry - software","https://wuzzuf.net/jobs/p/g/p3P9q0BbgjSp-Remote-Data-Input-Representative-darrensmithdesign-Riyadh-Saudi-Arabia"
"Data Entry Clerk-Part Time-Remote","Pixsta","Al Rayyan, Qatar","3 days ago","Full Time","","Not specified","computer science","IT/Software Development - Engineering - Telecom/Technology - Engineering - Mechanical/Electricalcomputer science - information technology (it) - customer service - computer engineeringdata entry - typing - communication skills","https://wuzzuf.net/jobs/p/g/HdQyme7eMTwU-Data-Entry-Clerk-Part-Time-Remote-Pixsta-Al-Rayyan-Qatar"
"Part Time/Full Time Remote Data Entry Clerk","SiteBetter.com","Riyadh, Saudi Arabia","3 days ago","Full Time","","Not specified","computer science","IT/Software Development - Engineering - Telecom/Technology - Engineering - Mechanical/Electricalcomputer science - information technology (it) - computer engineering - pythondata entry - microsoft office - computer","https://wuzzuf.net/jobs/p/g/ZYZnVZyFhqkc-Part-TimeFull-Time-Remote-Data-Entry-Clerk-SiteBetter-com-Riyadh-Saudi-Arabia"
"Remote Data Entry Role – Work From Home","SiteBetter.com","Riyadh, Saudi Arabia","3 days ago","Full Time","","Not specified","computer science","IT/Software Development - Engineering - Telecom/Technology - Engineering - Mechanical/Electricalcomputer science - information technology (it) - computer engineering - project management - microsoft officedata entry - remote","https://wuzzuf.net/jobs/p/g/8WQo0wJ14CCR-Remote-Data-Entry-Role-–-Work-From-Home-SiteBetter-com-Riyadh-Saudi-Arabia"
"Remote Data Entry Role (Part Time)","SiteBetter.com","Riyadh, Saudi Arabia","3 days ago","Full Time","","Not specified","computer science","Accounting/Finance - IT/Software Development - Engineering - Telecom/Technologycomputer science - information technology (it) - computer engineering - customer service - microsoft officedata entry - management","https://wuzzuf.net/jobs/p/g/34eQHia9GLrE-Remote-Data-Entry-Role-Part-Time-SiteBetter-com-Riyadh-Saudi-Arabia"
"Remote Data Entry Role (Entry Level)","SiteBetter.com","Riyadh, Saudi Arabia","3 days ago","Full Time","","Not specified","computer science","Accounting/Finance - IT/Software Development - Engineering - Telecom/Technologycomputer science - information technology (it) - computer engineering - customer service - microsoft officedata entry - management","https://wuzzuf.net/jobs/p/g/BYhl0cHrxO1N-Remote-Data-Entry-Role-Entry-Level-SiteBetter-com-Riyadh-Saudi-Arabia"
