job_title,company_name,company_location,time,job_type,work_location,level,experince_years,job_skills,url
"SAP ABAP Developer","Microwize","Sheraton, Cairo, Egypt","4 days ago","Full Time","On-site","Experienced","3 - 7 Yrs of Exp","IT/Software Development - ABAP - SAP - SAP ABAP - IDOC - English","https://wuzzuf.net/jobs/p/AD3uspbgn7xL-SAP-ABAP-Developer-Microwize-Cairo-Egypt"
"Business Analyst","Orchtech","Dokki, Giza, Egypt","1 month ago","Full Time","On-site","Experienced","2 - 3 Yrs of Exp","Analyst/Research - Business Analysis - Communication skills - systems analysis - business","https://wuzzuf.net/jobs/p/p30L3N3OvrnM-Business-Analyst-Orchtech-Giza-Egypt"
"Pre-Sales Engineer - Fresh Graduate","Capital Guard","Sheraton, Cairo, Egypt","2 months ago","Full Time","On-site","Entry Level","0 - 2 Yrs of Exp","Engineering - Telecom/Technology - Engineering - Mechanical/Electrical - CCTV - Access Control - UPS - Fire Alarm Systems - Fire Fighting","https://wuzzuf.net/jobs/p/fq1hGaadYBSR-Pre-Sales-Engineer---Fresh-Graduate-Capital-Guard-Cairo-Egypt"
"Quality Assurance Specialist","Glamour Export","New Nozha, Cairo, Egypt","13 days ago","Full Time","On-site","Entry Level","3 - 5 Yrs of Exp","Quality - Quality Assurance - QA - Quality Management","https://wuzzuf.net/jobs/p/StyAUz2PXgtQ-Quality-Assurance-Specialist-Glamour-Export-Cairo-Egypt"
"Senior Web developer","Partner & More","New Cairo, Cairo, Egypt","6 days ago","Full Time","On-site","Experienced","4 - 8 Yrs of Exp","Creative/Design/Art - IT/Software Development - CSS3 - JavaScript - MySQL - PHP - HTML5 - Shopify - Responsive Design","https://wuzzuf.net/jobs/p/paJrScqkudk5-Senior-Web-developer-Partner-More-Cairo-Egypt"
"Technical Support Manager","Milestones","Nasr City, Cairo, Egypt","3 days ago","Full Time","On-site","Manager","3 - 7 Yrs of Exp","Engineering - Telecom/Technology - Computer Engineering - Voip Systems - Communication Engineering - ip pbx - unified communication - video conference - Odoo ERP - zoom - microsoft teams","https://wuzzuf.net/jobs/p/UgzhQwqUUDpL-Technical-Support-Manager-Milestones-Cairo-Egypt"
"Senior Full Stack ASP.NET Developer","OrobaSoft","Cairo, Egypt","3 days ago","Full Time","Remote","Experienced","4 - 5 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Full Stack - Software Development - Microservice Architecture - ASP.NET Core - JavaScript - Front-End Development - HTML - CSS","https://wuzzuf.net/jobs/p/qEmdmthfCZVp-Senior-Full-Stack-ASPNET-Developer-OrobaSoft-Cairo-Egypt"
"Senior Full stack Web Developer C # / ASP.NET - F or M","iucon Egypt","Dokki, Giza, Egypt","25 days ago","Full Time","Hybrid","Experienced","2 - 5 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - ASP - ASP.Net - .Net - SQL - JavaScript - Information Technology (IT)","https://wuzzuf.net/jobs/p/EzFvksngSJOP-Senior-Full-stack-Web-Developer-C-ASPNET---F-or-M-iucon-Egypt-Giza-Egypt"
"System Administrator","Xceed Contact Center","Smart Village, Giza, Egypt","1 month ago","Full Time","On-site","Experienced","1 - 2 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Engineering - Other - Engineering - Software - Information Technology (IT)","https://wuzzuf.net/jobs/p/KbeVmCIEPmfA-System-Administrator-Xceed-Contact-Center-Giza-Egypt"
"Solution Architect","Block Gemini","Cairo, Egypt","5 days ago","Full Time","On-site","Experienced","8 - 15 Yrs of Exp","IT/Software Development - clustering, - scalability,","https://wuzzuf.net/jobs/p/yx8mxIMLzZ6c-Solution-Architect-Block-Gemini-Cairo-Egypt"
"Senior Mobile Developer","Partner & More","New Cairo, Cairo, Egypt","6 days ago","Full Time","On-site","Experienced","5 - 15 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - React Native - Git - Apollo - GraphQL - JavaScript - Software Development - UX - UI","https://wuzzuf.net/jobs/p/W4ByBOpmlX6c-Senior-Mobile-Developer-Partner-More-Cairo-Egypt"
"Technical Office Mechanical Engineer","Aswaq","Shorouk City, Cairo, Egypt","1 month ago","Full Time","On-site","Entry Level","0 - 5 Yrs of Exp","Engineering - Construction/Civil/Architecture - AutoCAD - Engineering - Mechanical","https://wuzzuf.net/jobs/p/lhc5D4G6FCGE-Technical-Office-Mechanical-Engineer-Aswaq-Cairo-Egypt"
